Place FIPS,"Unincorporated, Non-Place FIPS",Geography Name,County FIPS,County Name
3729560.00,,Harkers Island CDP,31,Carteret
3729640.00,,Harmony town,97,Iredell
3729680.00,,Harrells town,"163, 61","Sampson, Duplin"
3729720.00,,Harrellsville town,91,Hertford
3729800.00,,Harrisburg town,25,Cabarrus
3730040.00,,Hassell town,117,Martin
3730100.00,,Hatteras CDP,55,Dare
3730120.00,,Havelock city,49,Craven
3730260.00,,Haw River town,1,Alamance
3730280.00,,Hayesville town,43,Clay
3730340.00,,Hays CDP,193,Wilkes
3730620.00,,Hemby Bridge town,179,Union
3730660.00,,Henderson city,181,Vance
3730720.00,,Hendersonville city,89,Henderson
3730800.00,,Henrietta CDP,161,Rutherford
3730900.00,,Hertford town,143,Perquimans
3731060.00,,Hickory city,35,Catawba
3731260.00,,Hiddenite CDP,3,Alexander
3731360.00,,Highlands town,113,Macon
3731400.00,,High Point city,81,Guilford
3731440.00,,High Shoals city,71,Gaston
3731490.00,,Hightsville CDP,129,New Hanover
3731500.00,,Hildebran town,23,Burke
3731620.00,,Hillsborough town,135,Orange
3731860.00,,Hobgood town,83,Halifax
3731880.00,,Hobucken CDP,137,Pamlico
3731920.00,,Hoffman town,153,Richmond
3731960.00,,Holden Beach town,19,Brunswick
3732100.00,,Hollister CDP,83,Halifax
3732180.00,,Holly Ridge town,133,Onslow
3732260.00,,Holly Springs town,183,Wake
3732540.00,,Hookerton town,79,Greene
3732580.00,,Hoopers Creek CDP,89,Henderson
3732640.00,,Hope Mills town,51,Cumberland
3732740.00,,Horse Shoe CDP,89,Henderson
3732840.00,,Hot Springs town,115,Madison
3732980.00,,Hudson town,27,Caldwell
3733120.00,,Huntersville town,119,Mecklenburg
3733320.00,,Icard CDP,23,Burke
3733460.00,,Indian Beach town,31,Carteret
3733560.00,,Indian Trail town,179,Union
3733640.00,,Ingold CDP,163,Sampson
3733820.00,,Iron Station CDP,109,Lincoln
3733940.00,,Ivanhoe CDP,163,Sampson
3733993.00,,JAARS CDP,179,Union
3734000.00,,Jackson town,131,Northampton
3734038.00,,Jackson Heights CDP,107,Lenoir
3734160.00,,Jackson Springs CDP,125,Moore
3734200.00,,Jacksonville city,133,Onslow
3734260.00,,James City CDP,49,Craven
3734300.00,,Jamestown town,81,Guilford
3734320.00,,Jamesville town,117,Martin
3734440.00,,Jefferson town,9,Ashe
3734840.00,,Jonesville town,197,Yadkin
3735200.00,,Kannapolis city,"25, 159","Cabarrus, Rowan"
3735340.00,,Keener CDP,163,Sampson
3735360.00,,Kelford town,15,Bertie
3735440.00,,Kelly CDP,17,Bladen
3735460.00,,Kenansville town,61,Duplin
3735540.00,,Kenly town,"101, 195","Johnston, Wilson"
3735600.00,,Kernersville town,67,Forsyth
3735720.00,,Kill Devil Hills town,55,Dare
3735760.00,,King city,"169, 67","Stokes, Forsyth"
3735870.00,,Kings Grant CDP,129,New Hanover
3735880.00,,Kings Mountain city,"45, 71","Cleveland, Gaston"
3735890.00,,Kingstown town,45,Cleveland
3735920.00,,Kinston city,107,Lenoir
3736020.00,,Kittrell town,181,Vance
3736060.00,,Kitty Hawk town,55,Dare
3736080.00,,Knightdale town,183,Wake
3736220.00,,Kure Beach town,129,New Hanover
3736400.00,,La Grange town,107,Lenoir
3736480.00,,Lake Junaluska CDP,87,Haywood
3736500.00,,Lake Lure town,161,Rutherford
3736510.00,,Lake Norman of Catawba CDP,35,Catawba
3736511.00,,Lake Norman of Iredell CDP,97,Iredell
3736512.00,,Lake Park village,179,Union
3736513.00,,Lake Royale CDP,69,Franklin
3736514.00,,Lake Santeetlah town,75,Graham
3736640.00,,Lake Waccamaw town,47,Columbus
3736860.00,,Landis town,159,Rowan
3736960.00,,Lansing town,9,Ashe
3737000.00,,Lasker town,131,Northampton
3737040.00,,Lattimore town,45,Cleveland
3737120.00,,Laurel Hill CDP,165,Scotland
3737160.00,,Laurel Park town,89,Henderson
3737220.00,,Laurinburg city,165,Scotland
